m,deg,dmin,F140,F90
0.142303,0.002371717,0.069589856,11.967,5.0305
0.320663,0.005344383,0.15681252,11.698,4.9783
0.558235,0.009303917,0.272991388,11.362,5.7456
0.831655,0.013860917,0.406700856,11.171,5.8375
1.1,0.018333333,0.537928519,11.031,5.9828
1.38,0.023,0.674855778,10.914,5.9033
1.69,0.028166667,0.826453815,10.993,6.0145
1.94,0.032333333,0.948710296,11.144,6.0233
2.2,0.036666667,1.075857037,11.227,5.4836
2.49,0.0415,1.217674556,11.363,6.0409
2.75,0.045833333,1.344821296,11.455,5.5143
2.97,0.0495,1.452407,11.74,5.9961
